CATEGORY_NAME,PRE_COVID_BUSINESSES,POST_COVID_BUSINESSES,PRE_COVID_REVIEWS,POST_COVID_REVIEWS,PRE_COVID_RATINGS,POST_COVID_RATINGS,PERCENT_CHANGE_BUSINESSES,PERCENT_CHANGE_REVIEWS,CHANGE_RATINGS
Roadside Assistance,148,146,853,716,3.36,3.46,-1.35,-16.06,0.1
Plumbing,952,939,6847,6423,3.42,3.53,-1.37,-6.19,0.11
Shipping Centers,708,698,3391,3201,2.86,2.99,-1.41,-5.6,0.13
Food Delivery Services,761,750,14737,11229,3.8,3.77,-1.45,-23.8,-0.03
Vitamins & Supplements,203,200,1231,1130,4,4.01,-1.48,-8.2,0.01
Salad,2447,2410,92075,60038,3.84,3.83,-1.51,-34.79,-0.01
Hiking,188,185,1354,1152,4.51,4.5,-1.6,-14.92,-0.01
Truck Rental,184,181,1017,799,2.32,2.24,-1.63,-21.44,-0.08
Notaries,466,458,2054,2160,3.43,3.3,-1.72,5.16,-0.13
Latin American,576,566,23463,16135,4.08,4.11,-1.74,-31.23,0.03
Boat Charters,108,106,1867,1243,4.26,4.27,-1.85,-33.42,0.01
Nurseries & Gardening,786,771,5654,5772,3.28,3.22,-1.91,2.09,-0.06
Mortgage Lenders,103,101,690,1047,3.09,2.48,-1.94,51.74,-0.61
Japanese,1202,1178,54528,36232,3.93,3.96,-2,-33.55,0.03
Electricians,415,406,2495,2449,3.82,3.82,-2.17,-1.84,0
Water Heater Installation/Repair,487,476,3868,3841,3.55,3.69,-2.26,-0.7,0.14
Tapas/Small Plates,300,293,22469,14459,4.13,4.16,-2.33,-35.65,0.03
Landscape Architects,206,201,928,948,3.72,3.71,-2.43,2.16,-0.01
Halal,244,238,7775,5089,4.08,4.12,-2.46,-34.55,0.04
Barbeque,1096,1068,54203,32016,3.96,3.93,-2.55,-40.93,-0.03
Hot Tub & Pool,233,227,1067,1187,3.5,2.76,-2.58,11.25,-0.74
Garage Door Services,152,148,1295,1021,4.21,4.12,-2.63,-21.16,-0.09
Fish & Chips,146,142,4961,3589,4.02,4.13,-2.74,-27.66,0.11
Pressure Washers,255,248,1326,1250,4.35,4.3,-2.75,-5.73,-0.05
Post Offices,285,277,1295,1126,2.33,2.32,-2.81,-13.05,-0.01
Solar Installation,106,103,573,583,3.66,3.46,-2.83,1.75,-0.2
Wine Bars,868,843,49985,31959,4.05,4.1,-2.88,-36.06,0.05
Fishing,139,135,945,780,4.38,4.16,-2.88,-17.46,-0.22
Vietnamese,479,465,21186,13888,4.04,4.14,-2.92,-34.45,0.1
RV Repair,101,98,1082,957,2.97,2.89,-2.97,-11.55,-0.08
Sushi Bars,1193,1157,55000,35945,3.89,3.91,-3.02,-34.65,0.02
Urgent Care,464,450,3336,2884,3.15,2.44,-3.02,-13.55,-0.71
Refinishing Services,130,126,607,659,4.05,4.19,-3.08,8.57,0.14
Drywall Installation & Repair,129,125,622,581,4.3,4.32,-3.1,-6.59,0.02
Floral Designers,224,217,1295,1331,3.89,3.98,-3.13,2.78,0.09
Masonry/Concrete,312,302,1300,1208,3.63,3.48,-3.21,-7.08,-0.15
Donuts,900,870,17011,12484,3.8,3.72,-3.33,-26.61,-0.08
Bakeries,2221,2146,54535,39768,4.07,4.1,-3.38,-27.08,0.03
International Grocery,176,170,2038,1579,4.19,4.1,-3.41,-22.52,-0.09
Caribbean,405,391,12668,8666,4.02,4.01,-3.46,-31.59,-0.01
Smog Check Stations,201,194,1578,1243,4.04,3.93,-3.48,-21.23,-0.11
Gun/Rifle Ranges,115,111,985,990,3.97,3.55,-3.48,0.51,-0.42
Soup,852,821,29121,18193,3.79,3.81,-3.64,-37.53,0.02
Pool & Hot Tub Service,272,262,1170,1231,3.4,2.94,-3.68,5.21,-0.46
Teeth Whitening,107,103,776,396,4.06,3.91,-3.74,-48.97,-0.15
Pest Control,437,420,2447,2426,3.61,3.53,-3.89,-0.86,-0.08
Building Supplies,847,814,4531,4196,3.16,3.04,-3.9,-7.39,-0.12
Coffee & Tea,5019,4823,118515,77565,3.9,3.9,-3.91,-34.55,0
Tex-Mex,775,744,21923,13218,3.38,3.28,-4,-39.71,-0.1
Burgers,4473,4293,120159,75621,3.47,3.46,-4.02,-37.07,-0.01
Cuban,199,191,9276,5871,4.13,4.09,-4.02,-36.71,-0.04
Threading Services,139,133,1704,974,4.13,4.04,-4.32,-42.84,-0.09
Laboratory Testing,253,242,1198,1057,2.98,2.67,-4.35,-11.77,-0.31
Gluten-Free,546,522,31466,19066,4.03,3.99,-4.4,-39.41,-0.04
Fast Food,5505,5262,64531,46753,2.91,2.64,-4.41,-27.55,-0.27
Pool Cleaners,181,173,817,865,3.29,2.97,-4.42,5.88,-0.32
Shaved Ice,203,194,3212,2524,4.18,4.24,-4.43,-21.42,0.06
Shades & Blinds,225,215,1114,938,3.84,3.72,-4.44,-15.8,-0.12
Wholesale Stores,224,214,2103,1715,3.47,3.3,-4.46,-18.45,-0.17
Fireplace Services,111,106,500,433,3.57,3.56,-4.5,-13.4,-0.01
Air Duct Cleaning,240,229,1993,1733,3.65,3.61,-4.58,-13.05,-0.04
Irish Pub,128,122,3366,1676,3.76,3.89,-4.69,-50.21,0.13
Parks,845,805,7927,5487,4.32,4.33,-4.73,-30.78,0.01
Tea Rooms,144,137,3920,2694,4.33,4.38,-4.86,-31.28,0.05
Cabinetry,185,176,810,654,3.63,3.51,-4.86,-19.26,-0.12
Restaurants,36554,34740,1202845,761412,3.84,3.85,-4.96,-36.7,0.01
Meat Shops,441,419,6721,4025,4.25,4.12,-4.99,-40.11,-0.13
Food,20317,19300,462012,307681,3.92,3.92,-5.01,-33.4,0
Home Window Tinting,139,132,945,810,4.44,4.36,-5.04,-14.29,-0.08
Home Theatre Installation,119,113,747,697,3.84,3.95,-5.04,-6.69,0.11
Handyman,272,258,1523,1294,4.02,3.96,-5.15,-15.04,-0.06
Windows Installation,386,366,2217,2002,3.32,3.3,-5.18,-9.7,-0.02
Bagels,570,540,13016,9226,3.67,3.7,-5.26,-29.12,0.03
Wine Tasting Room,132,125,3619,2464,4.3,4.31,-5.3,-31.91,0.01
Packing Supplies,150,142,1080,999,3.13,2.86,-5.33,-7.5,-0.27
Door Sales/Installation,242,229,1287,1121,3.43,3.2,-5.37,-12.9,-0.23
Painters,372,352,1701,1516,4.22,4.04,-5.38,-10.88,-0.18
Beaches,111,105,2172,1519,4.04,4.04,-5.41,-30.06,0
Home Inspectors,259,245,1494,1327,4.18,4.3,-5.41,-11.18,0.12
Diagnostic Services,417,394,2290,1879,3.04,2.74,-5.52,-17.95,-0.3
Auto Parts & Supplies,1716,1621,16068,11936,3.03,2.93,-5.54,-25.72,-0.1
Drugstores,1419,1340,7758,6360,2.59,2.31,-5.57,-18.02,-0.28
Sandwiches,6484,6122,176901,112237,3.88,3.86,-5.58,-36.55,-0.02
Chocolatiers & Shops,249,235,5216,2936,4.26,4.16,-5.62,-43.71,-0.1
Cheese Shops,106,100,3210,1707,4.37,4.34,-5.66,-46.82,-0.03
Food Trucks,875,825,16347,12751,4.21,4.28,-5.71,-22,0.07
Home Organization,122,115,781,766,3.97,3.84,-5.74,-1.92,-0.13
Diagnostic Imaging,156,147,1003,754,3.21,2.88,-5.77,-24.83,-0.33
Breakfast & Brunch,4893,4610,241906,138422,3.92,3.94,-5.78,-42.78,0.02
Car Wash,778,732,7049,5206,3.04,3.22,-5.91,-26.15,0.18
Health Markets,473,445,7290,4358,3.93,3.75,-5.92,-40.22,-0.18
Oil Change Stations,2085,1959,15401,11270,3.42,3.44,-6.04,-26.82,0.02
Auto Detailing,745,700,6824,5017,3.42,3.58,-6.04,-26.48,0.16
Convenience Stores,1638,1539,7619,5951,3.12,2.82,-6.04,-21.89,-0.3
Used Car Dealers,381,358,3679,3140,2.83,2.61,-6.04,-14.65,-0.22
Contractors,2002,1880,10627,9234,3.53,3.48,-6.09,-13.11,-0.05
Resorts,147,138,6475,3622,3.11,2.83,-6.12,-44.06,-0.28
Florists,801,752,4791,4438,3.93,3.89,-6.12,-7.37,-0.04
Glass & Mirrors,195,183,1012,875,3.89,3.94,-6.15,-13.54,0.05
Pizza,5346,5016,119832,82729,3.72,3.74,-6.17,-30.96,0.02
Movers,761,714,5970,5301,3.21,3.16,-6.18,-11.21,-0.05
Animal Shelters,129,121,893,609,3.59,3.26,-6.2,-31.8,-0.33
Dog Parks,145,136,998,742,4.24,4.13,-6.21,-25.65,-0.11
Laundromat,177,166,848,709,3.66,3.78,-6.21,-16.39,0.12
Car Dealers,1447,1357,16947,12830,2.79,2.61,-6.22,-24.29,-0.18
Seafood Markets,273,256,7202,4286,4.08,4.02,-6.23,-40.49,-0.06
Tires,2175,2038,14834,11636,3.47,3.43,-6.3,-21.56,-0.04
Auto Customization,269,252,1466,1250,4.22,4.06,-6.32,-14.73,-0.16
Bars,8069,7558,383179,225236,3.85,3.9,-6.33,-41.22,0.05
Printing Services,695,651,3026,2843,3.46,3.32,-6.33,-6.05,-0.14
Self Storage,674,631,3435,3249,2.99,2.88,-6.38,-5.41,-0.11
Hotels,2470,2312,46645,25270,3.11,2.96,-6.4,-45.82,-0.15
Steakhouses,1116,1044,61152,40093,3.76,3.77,-6.45,-34.44,0.01
Gastropubs,371,347,29061,16285,3.94,4.02,-6.47,-43.96,0.08
Boating,246,230,2756,1948,4.26,4.16,-6.5,-29.32,-0.1
Personal Injury Law,123,115,483,427,3.57,3.08,-6.5,-11.59,-0.49
Cheesesteaks,475,444,15042,9256,3.83,3.77,-6.53,-38.47,-0.06
Car Stereo Installation,213,199,1337,1133,3.78,3.47,-6.57,-15.26,-0.31
Grocery,2527,2359,27608,19239,3.68,3.51,-6.65,-30.31,-0.17
Spanish,194,181,8891,5265,4.08,4.03,-6.7,-40.78,-0.05
Swimming Pools,224,209,1351,1062,3.51,3.08,-6.7,-21.39,-0.43
Funeral Services & Cemeteries,149,139,634,540,3.86,3.71,-6.71,-14.83,-0.15
Pet Groomers,1345,1254,8576,6763,3.91,3.61,-6.77,-21.14,-0.3
Departments of Motor Vehicles,117,109,822,612,3.49,3.35,-6.84,-25.55,-0.14
Medical Supplies,173,161,917,725,3.02,2.97,-6.94,-20.94,-0.05
Mediterranean,828,770,33483,21744,4.11,4.16,-7,-35.06,0.05
Italian,3254,3024,102062,69312,3.81,3.91,-7.07,-32.09,0.1
Home Services,12211,11343,68514,58407,3.39,3.34,-7.11,-14.75,-0.05
American (Traditional),6220,5768,268327,152811,3.71,3.73,-7.27,-43.05,0.02
Appliances & Repair,683,633,4682,4291,2.88,2.91,-7.32,-8.35,0.03
Pets,3153,2922,19889,16413,3.86,3.55,-7.33,-17.48,-0.31
Nightlife,8879,8226,403795,235497,3.85,3.89,-7.35,-41.68,0.04
Automotive,9239,8559,63675,48651,3.32,3.28,-7.36,-23.59,-0.04
Chinese,2358,2182,52920,32957,3.7,3.73,-7.46,-37.72,0.03
Waxing,2029,1877,27881,16500,3.97,3.9,-7.49,-40.82,-0.07
Ophthalmologists,386,357,1961,1384,3.34,3.06,-7.51,-29.42,-0.28
Heating & Air Conditioning/HVAC,1052,973,6907,5695,3.22,3.3,-7.51,-17.55,0.08
Sports Bars,1640,1515,51908,29407,3.4,3.48,-7.62,-43.35,0.08
Couriers & Delivery Services,260,240,1825,1773,3.39,3.15,-7.69,-2.85,-0.24
Wheel & Rim Repair,285,263,2257,1800,4.06,4.01,-7.72,-20.25,-0.05
Divorce & Family Law,116,107,387,275,3.79,3.73,-7.76,-28.94,-0.06
Auto Repair,4756,4384,34985,26078,3.35,3.32,-7.82,-25.46,-0.03
Specialty Food,3126,2881,62939,39312,4.05,4.03,-7.84,-37.54,-0.02
Laser Hair Removal,314,289,2702,1918,4,3.89,-7.96,-29.02,-0.11
Transmission Repair,572,526,3116,2286,3.82,3.91,-8.04,-26.64,0.09
Damage Restoration,311,286,1656,1351,3.85,3.79,-8.04,-18.42,-0.06
Tapas Bars,136,125,8557,5815,4.1,4.15,-8.09,-32.04,0.05
Vegetarian,834,766,45583,24928,4.12,4.14,-8.15,-45.31,0.02
Outdoor Gear,270,248,1680,1486,3.74,3.52,-8.15,-11.55,-0.22
Auto Glass Services,624,573,4101,3459,4.12,4.15,-8.17,-15.65,0.03
Wineries,281,258,8002,4975,4.28,4.27,-8.19,-37.83,-0.01
Ice Cream & Frozen Yogurt,1883,1728,38199,26857,3.99,3.94,-8.23,-29.69,-0.05
Flooring,546,501,2646,2435,3.71,3.71,-8.24,-7.97,0
Rafting/Kayaking,109,100,985,885,4.58,4.44,-8.26,-10.15,-0.14
Eyelash Service,1104,1012,13852,8144,4.01,3.91,-8.33,-41.21,-0.1
Discount Store,742,680,3982,2984,2.77,2.52,-8.36,-25.06,-0.25
Medical Centers,981,899,6589,5044,3.07,2.63,-8.36,-23.45,-0.44
Piercing,298,273,2759,1831,4.31,4.08,-8.39,-33.64,-0.23
Cafes,1861,1703,79048,45882,4.12,4.15,-8.49,-41.96,0.03
Gas Stations,907,830,3709,2725,3.19,2.95,-8.49,-26.53,-0.24
Shopping Centers,223,204,4825,2230,3.92,3.7,-8.52,-53.78,-0.22
Hair Removal,2726,2492,33887,20128,3.95,3.89,-8.58,-40.6,-0.06
Pet Services,2231,2039,13993,11562,3.9,3.6,-8.61,-17.37,-0.3
Supernatural Readings,115,105,1152,583,4.39,4.28,-8.7,-49.39,-0.11
Medical Spas,632,577,4742,3297,4.04,3.95,-8.7,-30.47,-0.09
Data Recovery,101,92,923,563,4.01,4.03,-8.91,-39,0.02
Home & Garden,4814,4385,29096,24170,3.37,3.22,-8.91,-16.93,-0.15
Home Automation,112,102,605,500,2.99,3.22,-8.93,-17.36,0.23
Pet Training,480,437,2948,2213,3.66,3.36,-8.96,-24.93,-0.3
Financial Advising,156,142,724,641,2.69,2.32,-8.97,-11.46,-0.37
Appliances,745,678,5999,5196,2.77,2.55,-8.99,-13.39,-0.22
Tiling,211,192,1046,964,4.15,4.1,-9,-7.84,-0.05
Cosmetic Surgeons,332,302,1852,1402,3.79,3.81,-9.04,-24.3,0.02
Playgrounds,219,199,1592,952,4.22,4.15,-9.13,-40.2,-0.07
Butcher,141,128,3653,1958,4.31,4.09,-9.22,-46.4,-0.22
Television Service Providers,130,118,1195,783,1.62,1.65,-9.23,-34.48,0.03
Beer,1818,1649,54932,31315,4.01,3.99,-9.3,-42.99,-0.02
Wine & Spirits,1818,1649,54932,31315,4.01,3.99,-9.3,-42.99,-0.02
Hobby Shops,387,351,1872,1320,3.88,3.84,-9.3,-29.49,-0.04
Optometrists,973,882,4667,3214,3.51,3.16,-9.35,-31.13,-0.35
Middle Eastern,384,348,17343,10315,4.22,4.29,-9.38,-40.52,0.07
Watch Repair,213,193,1398,1007,4.3,4.4,-9.39,-27.97,0.1
Golf,403,365,2808,1914,3.54,3.42,-9.43,-31.84,-0.12
Head Shops,180,163,1067,895,3.81,3.38,-9.44,-16.12,-0.43
Indian,470,425,19592,11987,4.07,4.19,-9.57,-38.82,0.12
Fruits & Veggies,449,406,5968,3532,4.12,3.96,-9.58,-40.82,-0.16
Imported Food,145,131,1743,1108,3.84,3.98,-9.66,-36.43,0.14
Furniture Reupholstery,145,131,642,522,4.1,4.28,-9.66,-18.69,0.18
Banks & Credit Unions,628,567,2158,1676,2.43,2.08,-9.71,-22.34,-0.35
Photography Stores & Services,390,352,1640,1287,2.92,2.73,-9.74,-21.52,-0.19
Gelato,153,138,5092,3123,4.23,4.2,-9.8,-38.67,-0.03
Mortgage Brokers,316,285,1446,1448,2.88,2.69,-9.81,0.14,-0.19
Signmaking,183,165,680,561,3.28,3.06,-9.84,-17.5,-0.22
Jewelry Repair,304,274,1659,1215,4.44,4.47,-9.87,-26.76,0.03
Musical Instrument Services,152,137,761,718,3.6,3.34,-9.87,-5.65,-0.26
Amusement Parks,220,198,3977,2286,3.63,3.23,-10,-42.52,-0.4
Pain Management,110,99,622,434,3.67,3.23,-10,-30.23,-0.44
Eyebrow Services,419,377,4682,3026,4.14,4.11,-10.02,-35.37,-0.03
Greek,547,492,16942,11163,4.05,4.05,-10.05,-34.11,0
Flowers & Gifts,1546,1390,10256,9166,4,3.98,-10.09,-10.63,-0.02
Pet Stores,880,791,5581,4174,3.69,3.44,-10.11,-25.21,-0.25
Nail Salons,3886,3490,46706,27272,3.66,3.61,-10.19,-41.61,-0.05
Music & DVDs,156,140,1068,677,4.12,3.97,-10.26,-36.61,-0.15
American (New),4318,3874,250746,137166,3.89,3.93,-10.28,-45.3,0.04
Computers,272,244,2731,1884,3.16,2.92,-10.29,-31.01,-0.24
Towing,622,558,3375,2381,3.18,3.34,-10.29,-29.45,0.16
Local Services,9450,8478,53309,42600,3.55,3.51,-10.29,-20.09,-0.04
Delis,1880,1684,32244,21350,3.95,3.86,-10.43,-33.79,-0.09
Keys & Locksmiths,286,256,2055,1509,4.42,4.24,-10.49,-26.57,-0.18
Kitchen & Bath,637,570,4118,2756,3.44,3.39,-10.52,-33.07,-0.05
Hotels & Travel,4906,4387,83656,44085,3.35,3.19,-10.58,-47.3,-0.16
Endodontists,636,568,2909,1931,3.71,3.31,-10.69,-33.62,-0.4
Financial Services,1254,1120,6096,5122,2.66,2.44,-10.69,-15.98,-0.22
Pubs,1303,1163,49413,26049,3.87,3.93,-10.74,-47.28,0.06
Body Shops,1088,971,7872,5884,3.43,3.44,-10.75,-25.25,0.01
Pet Sitting,1162,1036,7058,5456,3.9,3.66,-10.84,-22.7,-0.24
Real Estate Services,690,615,3435,2965,3.52,3.51,-10.87,-13.68,-0.01
Farmers Market,375,334,6078,3966,4.24,4.2,-10.93,-34.75,-0.04
Mattresses,521,464,5030,4009,2.77,2.33,-10.94,-20.3,-0.44
Diners,1123,1000,44463,22975,3.73,3.79,-10.95,-48.33,0.06
Permanent Makeup,347,309,3830,2053,4.09,4.06,-10.95,-46.4,-0.03
Furniture Stores,1286,1145,8872,6707,3.01,2.7,-10.96,-24.4,-0.31
Lawyers,317,282,1314,994,3.77,3.46,-11.04,-24.35,-0.31
Airports,108,96,3964,1382,3.37,3.09,-11.11,-65.14,-0.28
Eyewear & Opticians,887,788,4469,3128,3.52,3.2,-11.16,-30.01,-0.32
Bike Rentals,242,215,2053,1697,4.53,4.33,-11.16,-17.34,-0.2
Hospitals,354,314,3142,2134,2.69,2.32,-11.3,-32.08,-0.37
Pet Adoption,150,133,1090,740,3.81,3.45,-11.33,-32.11,-0.36
Home Cleaning,653,579,4105,3259,3.88,3.82,-11.33,-20.61,-0.06
Men's Hair Salons,746,661,5586,3132,4.12,3.95,-11.39,-43.93,-0.17
Thrift Stores,482,427,2643,1866,3.46,3.35,-11.41,-29.4,-0.11
Windshield Installation & Repair,298,264,2061,1658,4,4.09,-11.41,-19.55,0.09
Caterers,2146,1901,55304,33665,3.9,3.87,-11.42,-39.13,-0.03
Real Estate,3069,2718,16396,12631,3.04,2.8,-11.44,-22.96,-0.24
Apartments,1660,1470,8607,6449,2.67,2.39,-11.45,-25.07,-0.28
Counseling & Mental Health,192,170,895,637,3.03,2.68,-11.46,-28.83,-0.35
Pediatricians,226,200,935,643,3.24,3.02,-11.5,-31.23,-0.22
Tattoo,504,446,3763,2451,4.33,4.08,-11.51,-34.87,-0.25
Museums,364,322,9208,4617,4.2,4.26,-11.54,-49.86,0.06
Interior Design,421,372,2282,1768,3.6,3.42,-11.64,-22.52,-0.18
Watches,274,242,1474,1045,4.14,4.25,-11.68,-29.1,0.11
Community Service/Non-Profit,410,362,3020,1739,3.89,3.69,-11.71,-42.42,-0.2
Personal Shopping,128,113,797,613,3.88,3.94,-11.72,-23.09,0.06
Historical Tours,127,112,5524,2276,4.55,4.53,-11.81,-58.8,-0.02
Bikes,347,306,2150,2075,4.44,4.16,-11.82,-3.49,-0.28
Cosmetic Dentists,1469,1294,7174,4923,3.73,3.48,-11.91,-31.38,-0.25
Pediatric Dentists,469,413,2201,1549,3.74,3.55,-11.94,-29.62,-0.19
Team Building Activities,125,110,2133,1192,4.62,4.57,-12,-44.12,-0.05
Property Management,656,577,3474,2964,2.53,2.36,-12.04,-14.68,-0.17
Auto Loan Providers,166,146,1443,1272,2.63,2.54,-12.05,-11.85,-0.09
Carpet Cleaning,431,379,2497,2050,4.14,4.15,-12.06,-17.9,0.01
Countertop Installation,149,131,660,504,3.54,3.6,-12.08,-23.64,0.06
Bike Repair/Maintenance,223,196,1388,1382,4.46,4.22,-12.11,-0.43,-0.24
Pretzels,132,116,1197,849,3.7,3.97,-12.12,-29.07,0.27
Carpeting,272,239,1472,1291,3.67,3.47,-12.13,-12.3,-0.2
IT Services & Computer Repair,996,875,6716,4512,3.32,3.32,-12.15,-32.82,0
Skin Care,2089,1834,22395,12726,3.99,3.98,-12.21,-43.17,-0.01
Internet Service Providers,294,258,2294,1514,1.86,1.86,-12.24,-34,0
Periodontists,424,372,2013,1272,3.67,3.32,-12.26,-36.81,-0.35
Office Equipment,212,186,1080,791,3.24,3.14,-12.26,-26.76,-0.1
University Housing,106,93,726,616,2.43,2.01,-12.26,-15.15,-0.42
Oral Surgeons,667,585,3348,2226,3.8,3.43,-12.29,-33.51,-0.37
Rehabilitation Center,203,178,781,577,3.4,2.97,-12.32,-26.12,-0.43
Orthopedists,210,184,1211,795,3.19,3.11,-12.38,-34.35,-0.08
Candy Stores,265,232,4564,3023,4.32,4.25,-12.45,-33.76,-0.07
Gift Shops,648,567,4439,4065,4.09,4.05,-12.5,-8.43,-0.04
Shopping,19323,16903,123085,89038,3.65,3.48,-12.52,-27.66,-0.17
Event Planning & Services,8072,7060,158341,89945,3.7,3.67,-12.54,-43.2,-0.03
Motorcycle Dealers,191,167,937,845,3.67,3.37,-12.57,-9.82,-0.3
Venues & Event Spaces,2086,1823,58234,30639,3.71,3.74,-12.61,-47.39,0.03
Gold Buyers,119,104,515,420,4.04,4.16,-12.61,-18.45,0.12
Health & Medical,10186,8894,55539,38929,3.63,3.35,-12.68,-29.91,-0.28
Life Insurance,118,103,438,359,3.54,3.68,-12.71,-18.04,0.14
Baby Gear & Furniture,173,151,1093,662,3.2,2.86,-12.72,-39.43,-0.34
Public Services & Government,1014,885,8612,5302,3.83,3.6,-12.72,-38.43,-0.23
Dive Bars,508,443,9310,4116,3.86,3.87,-12.8,-55.79,0.01
Electronics Repair,413,360,2962,1993,3.98,3.86,-12.83,-32.71,-0.12
Commercial Real Estate,109,95,498,390,3.54,3.55,-12.84,-21.69,0.01
Window Washing,194,169,1210,925,4.14,4.27,-12.89,-23.55,0.13
Cards & Stationery,170,148,987,680,3.99,3.95,-12.94,-31.1,-0.04
